Date,Open,High,Low,Close,Volume
2018-04-30T00:00:00Z,79.16,79.8,77.301,79.0475,441838260
2018-05-07T00:00:00Z,79.483,80.78,79.1255,80.1455,311769120
2018-05-14T00:00:00Z,80.2,80.559,78.261005,78.7185,298954200
2018-05-21T00:00:00Z,79.2415,80.706,78.317,80.5075,290622820
2018-05-28T00:00:00Z,80.045,82.336495,80.0075,82.077,264670980
2018-06-04T00:00:00Z,82.445,85.725,82.2745,84.1995,403278480
2018-06-11T00:00:00Z,84.0755,86.24,84.029615,85.7985,317485780
2018-06-18T00:00:00Z,85.2,88.155,85.0195,85.7835,414934440
2018-06-25T00:00:00Z,85.14,86.1705,82.315445,84.99,516863800
2018-07-02T00:00:00Z,84.1935,86.25,83.903,85.5315,219926880
2018-07-09T00:00:00Z,86.211,90.765,85.8115,90.6515,362881940
2018-07-16T00:00:00Z,91.15,92.944,89.86919,90.685,491589940
2018-07-23T00:00:00Z,90.75,94.0025,88.4995,90.8635,632176960
2018-07-30T00:00:00Z,91.3665,92.05,86.966,91.1645,485385960
2018-08-06T00:00:00Z,91.3645,95.7285,90.946,94.315,384652320
2018-08-13T00:00:00Z,94.925,96.25,92.7775,94.111,505593400
2018-08-20T00:00:00Z,94.5145,95.975,93.30305,95.2695,308239320
2018-08-27T00:00:00Z,95.75,101.2785,95.46405,100.6355,493663200
2018-09-03T00:00:00Z,101.3525,102.525,96.76045,97.6035,526459840
2018-09-10T00:00:00Z,98.58,100.438,95.85,98.5095,425120580
2018-09-17T00:00:00Z,97.6975,97.91,94.3705,95.7505,507731040
2018-09-24T00:00:00Z,95.25,101.326,93.25,100.15,429602400
2018-10-01T00:00:00Z,101.1,101.6595,93.1415,94.4825,564029300
2018-10-08T00:00:00Z,93.745,95.09981,84.255,89.4305,930707580
2018-10-15T00:00:00Z,89.75,92.25,86.7115,88.2015,587469960
2018-10-22T00:00:00Z,89.1665,90.474995,80.15,82.1405,868036720
2018-10-29T00:00:00Z,83.07,84.872,73.818,83.2765,1016149220
2018-11-05T00:00:00Z,82.9,89.2,79.818,85.6215,610227320
2018-11-12T00:00:00Z,84.9595,85.4275,77.3255,79.6705,674396480
2018-11-19T00:00:00Z,78.7755,79.0595,71.0,75.103,541864920
2018-11-26T00:00:00Z,77.0,84.8,76.211,84.5085,657493700
2018-12-03T00:00:00Z,88.4975,88.917,80.4925,81.4565,638442820
2018-12-10T00:00:00Z,81.104,85.2495,79.25,79.5955,639515920
2018-12-17T00:00:00Z,78.2955,79.2265,68.198,68.8725,955541580
2018-12-24T00:00:00Z,67.158,75.6735,65.35,73.901,723655620
2018-12-31T00:00:00Z,75.487,79.7,73.0465,78.7695,621915140
2019-01-07T00:00:00Z,80.222,83.8305,79.45925,82.028,688347140
2019-01-14T00:00:00Z,80.7215,85.81,79.7575,84.81,572012800
2019-01-21T00:00:00Z,84.05,84.174,80.51,83.5285,413832600
2019-01-28T00:00:00Z,82.25,86.82055,79.536,81.3115,753417320
2019-02-04T00:00:00Z,81.114,83.613,78.3378,79.411,472124420
2019-02-11T00:00:00Z,80.0,82.819,79.3,80.3975,404013400
2019-02-18T00:00:00Z,80.1,81.747,80.028,81.578,271976560
2019-02-25T00:00:00Z,82.0725,83.713,80.755,83.5865,339858560
2019-03-04T00:00:00Z,84.25,85.4715,79.3285,81.04,469378240
2019-03-11T00:00:00Z,81.306,85.94,81.3005,85.618,430807580
2019-03-18T00:00:00Z,85.64334,91.1875,85.6315,88.2385,603792640
2019-03-25T00:00:00Z,87.8895,90.2885,87.284,89.0375,413164700
2019-04-01T00:00:00Z,90.0095,91.929,89.9365,91.8825,378636000
2019-04-08T00:00:00Z,91.6615,92.6545,91.2555,92.153,324008740
2019-04-15T00:00:00Z,92.1,93.82365,90.945,93.0845,248248800
2019-04-22T00:00:00Z,92.77,97.55,92.282,97.5315,524433860
2019-04-29T00:00:00Z,97.45,98.22,94.0935,98.123,419774100
2019-05-06T00:00:00Z,95.899,97.95,92.8,94.499,528496000
2019-05-13T00:00:00Z,91.828,95.8755,90.7875,93.45,490991980
2019-05-20T00:00:00Z,92.6345,93.95,90.21,91.164,370677180
2019-05-27T00:00:00Z,91.6375,92.463345,88.63517,88.7535,304893180
2019-06-03T00:00:00Z,88.0005,90.31269,83.6,90.1855,550302580
2019-06-10T00:00:00Z,91.1,94.685,90.9,93.4835,354780180
2019-06-17T00:00:00Z,93.825,96.76,93.7725,95.565,331522920
2019-06-24T00:00:00Z,95.633,95.843,93.621,94.495,258326100
2019-07-01T00:00:00Z,96.149,97.295,95.3315,97.1455,203465980
2019-07-08T00:00:00Z,96.706,101.79,96.41266,100.55,379760680
2019-07-15T00:00:00Z,101.07,101.31598,97.5775,98.226,296964280
2019-07-22T00:00:00Z,98.557,100.065,96.2255,97.1525,346129900
2019-07-29T00:00:00Z,96.5,96.6113,90.401,91.162,430886820
2019-08-05T00:00:00Z,88.511,91.713,87.439,90.379,444727320
2019-08-12T00:00:00Z,89.7995,91.587145,87.86075,89.6285,374767120
2019-08-19T00:00:00Z,90.904,91.478925,87.2615,87.481,294573100
2019-08-26T00:00:00Z,88.3455,89.987,87.1755,88.8145,292332340
2019-09-02T00:00:00Z,88.5,92.1,88.4,91.6755,233904180
2019-09-09T00:00:00Z,92.05,92.683,90.26678,91.967,256819660
2019-09-16T00:00:00Z,91.201,91.6285,89.046,89.708,317574340
2019-09-23T00:00:00Z,88.85,89.78525,85.691,86.2725,376562440
2019-09-30T00:00:00Z,86.3495,87.78,84.253,86.9825,307667040
2019-10-07T00:00:00Z,86.5815,87.3915,85.25,86.596,258096760
2019-10-14T00:00:00Z,86.4455,89.9425,86.1,87.8755,278841480
2019-10-21T00:00:00Z,88.483,89.488995,84.75,88.0665,429609180
2019-10-28T00:00:00Z,87.403,89.87225,87.125,89.572,280133000
2019-11-04T00:00:00Z,90.0505,90.753,88.702,89.294,229290640
2019-11-11T00:00:00Z,88.9,89.311,86.643,86.9745,262283700
2019-11-18T00:00:00Z,86.915,88.1262,86.1355,87.286,261044400
2019-11-25T00:00:00Z,87.6625,91.2345,87.662,90.04,232783620
2019-12-02T00:00:00Z,90.22,90.2775,87.0,87.58,321797260
2019-12-09T00:00:00Z,87.533,88.4495,86.75,88.047,259426180
2019-12-16T00:00:00Z,88.35,90.1485,87.8525,89.325,360819180
2019-12-23T00:00:00Z,89.413,95.07,89.2255,93.49,304643840
2019-12-30T00:00:00Z,93.7,94.9005,91.6115,93.7485,279804000
2020-01-06T00:00:00Z,93.0,95.891,93.0,94.158,354871900
2020-01-13T00:00:00Z,94.5655,94.9,92.7545,93.236,315713000
2020-01-20T00:00:00Z,93.25,95.125,92.372,93.082,263496720
2020-01-27T00:00:00Z,91.0,102.786,90.767,100.436,606653200
2020-02-03T00:00:00Z,100.53,104.9265,100.0125,103.964,476858140
2020-02-10T00:00:00Z,104.2505,109.2975,104.248,106.7435,395489400
2020-02-17T00:00:00Z,106.251,109.255,104.4,104.7985,265886340
2020-02-24T00:00:00Z,100.159,101.96475,90.55645,94.1875,712885660
2020-03-02T00:00:00Z,95.3245,99.8165,93.475,95.0545,581817020
2020-03-09T00:00:00Z,88.693,94.7135,83.75,89.25,814986240
2020-03-16T00:00:00Z,82.0755,97.85,81.30159,92.3045,993948100
2020-03-23T00:00:00Z,91.3875,97.8245,90.6,95.005,661153140
2020-03-30T00:00:00Z,96.1415,99.651,94.4575,95.3295,466348860
2020-04-06T00:00:00Z,96.8,102.65,96.501,102.138,390401880
2020-04-13T00:00:00Z,102.0,123.049905,101.9,118.75,832773600
2020-04-20T00:00:00Z,119.4975,122.249,113.983,120.511,527280340
2020-04-27T00:00:00Z,122.16,123.75,112.909505,114.302,696278000
2020-05-04T00:00:00Z,112.819,119.362245,112.819,118.9805,356677500
2020-05-11T00:00:00Z,118.735,120.98325,116.89025,120.489,380002900
2020-05-18T00:00:00Z,120.21728,126.2725,119.2005,121.844,413333900
2020-05-25T00:00:00Z,122.9,123.1,116.5,122.1185,306951260
2020-06-01T00:00:00Z,122.4,125.377,121.8565,124.15,287882280
2020-06-08T00:00:00Z,125.01,136.1175,124.36675,127.251,506577380
2020-06-15T00:00:00Z,126.33,134.8715,125.400005,133.7505,373860740
2020-06-22T00:00:00Z,134.225,139.8,133.45,134.6435,428730660
2020-06-29T00:00:00Z,134.5005,147.778,131.504,144.515,418998680
2020-07-06T00:00:00Z,146.7485,160.75,146.5,160.0,581008640
2020-07-13T00:00:00Z,162.553,167.2145,145.9115,148.0985,637935840
2020-07-20T00:00:00Z,150.01,162.02879,144.4,150.4455,582533700
2020-07-27T00:00:00Z,153.1,162.341,149.788,158.234,489656740
2020-08-03T00:00:00Z,159.0255,162.3735,155.0605,158.373,431514220
2020-08-10T00:00:00Z,158.5155,160.876055,153.65,157.401,326266520
2020-08-17T00:00:00Z,158.656,166.0,157.708875,164.236,382613760
2020-08-24T00:00:00Z,165.5075,172.65,162.87804,170.09,446592320
2020-08-31T00:00:00Z,170.4495,177.6125,155.5565,164.731,570732700
